Score,UpCourt,DownCourt,Start,End,Comment,Player
1_01_00,Chi,Wu,3162,3778,0,2
1_01_01,Chi,Wu,4068,4418,0,1
1_01_02,Chi,Wu,4728,5150,0,2
1_02_02,Chi,Wu,5490,5754,0,2
1_02_03,Chi,Wu,6085,6564,0,1
1_02_04,Chi,Wu,6884,7444,0,2
1_02_05,Chi,Wu,7934,8124,0,2
1_03_05,Chi,Wu,8394,8684,0,2
1_03_06,Chi,Wu,9064,9354,0,1
1_03_07,Chi,Wu,9884,10104,0,2
1_03_08,Chi,Wu,10384,10782,0,2
1_04_08,Chi,Wu,11312,12231,0,2
1_04_09,Chi,Wu,12561,12761,0,1
1_04_10,Chi,Wu,13081,13351,0,2
1_04_11,Chi,Wu,13741,14121,0,2
1_04_12,Chi,Wu,15413,15663,0,2
1_04_13,Chi,Wu,16043,16293,0,2
1_05_13,Chi,Wu,16703,17113,0,2
1_06_13,Chi,Wu,17413,17873,0,1
1_06_14,Chi,Wu,18153,18513,0,1
1_06_15,Chi,Wu,18823,19033,0,2
1_07_15,Chi,Wu,19413,19673,0,2
1_07_16,Chi,Wu,20033,20313,0,1
1_07_17,Chi,Wu,20643,20873,0,2
1_07_18,Chi,Wu,21223,21653,0,2
1_08_18,Chi,Wu,22123,22633,0,2
1_08_19,Chi,Wu,22993,23223,0,1
1_08_20,Chi,Wu,24576,25076,0,2
1_09_20,Chi,Wu,25386,25696,0,2
1_09_21,Chi,Wu,26036,26296,0,1
