Rally,Ball Round,Start,End,player,Hit Frame,New Hit Frame,Shot Type,Hand,Note,Diff
1_01_00,1,3162,3778,Down,3204,3200,切球,正拍,,None
1_01_00,2,3162,3778,Up,3295,,,,,91
1_01_00,3,3162,3778,Down,3362,,,,,67
1_01_00,4,3162,3778,Up,3421,,,,,59
1_01_00,5,3162,3778,Down,3489,,,,,68
1_01_00,6,3162,3778,Up,3532,,,,,43
1_01_00,7,3162,3778,Down,3585,,,,,53
1_01_00,8,3162,3778,Up,3639,,,,,54
1_01_00,9,3162,3778,Down,3681,,,,,42
1_01_00,10,3162,3778,Up,3731,,,,,50
1_01_01,1,4068,4418,Up,4081,,,,,None
1_01_01,2,4068,4418,Down,4158,,,,,77
1_01_01,3,4068,4418,Up,4224,,,,,66
1_01_01,4,4068,4418,Down,4276,,,,,52
1_01_01,5,4068,4418,Up,4326,,,,,50
1_01_02,1,4728,5150,Down,4775,,,,,None
1_01_02,2,4728,5150,Up,4866,,,,,91
1_01_02,3,4728,5150,Down,4897,,,,,31
1_01_02,4,4728,5150,Up,4946,,,,,49
1_01_02,5,4728,5150,Down,5016,,,,,70
1_01_02,6,4728,5150,Up,5079,,,,,63
1_01_02,7,4728,5150,Down,5129,,,,,50
1_02_02,1,5490,5754,Down,5531,,,,,None
1_02_02,2,5490,5754,Up,5626,,,,,95
1_02_02,3,5490,5754,Down,5679,,,,,53
1_02_02,4,5490,5754,Up,5705,,,,,26
1_02_02,5,5490,5754,Down,5755,,,,,50
1_02_03,1,6085,6564,Up,6120,,,,,None
1_02_03,2,6085,6564,Down,6194,,,,,74
1_02_03,3,6085,6564,Up,6246,,,,,52
1_02_03,4,6085,6564,Down,6317,,,,,71
1_02_03,5,6085,6564,Up,6362,,,,,45
1_02_03,6,6085,6564,Down,6410,,,,,48
1_02_03,7,6085,6564,Up,6460,,,,,50
1_02_03,8,6085,6564,Down,6527,,,,,67
1_02_03,9,6085,6564,Up,6577,,,,,50
1_02_04,1,6884,7444,Down,6942,,,,,None
1_02_04,2,6884,7444,Up,6992,,,,,50
1_02_04,3,6884,7444,Down,7020,,,,,28
1_02_04,4,6884,7444,Up,7084,,,,,64
1_02_04,5,6884,7444,Down,7129,,,,,45
1_02_04,6,6884,7444,Up,7166,,,,,37
1_02_04,7,6884,7444,Down,7227,,,,,61
1_02_04,8,6884,7444,Up,7271,,,,,44
1_02_04,9,6884,7444,Down,7322,,,,,51
1_02_04,10,6884,7444,Up,7355,,,,,33
1_02_04,11,6884,7444,Down,7405,,,,,50
1_02_05,1,7934,8124,Down,7975,,,,,None
1_02_05,2,7934,8124,Up,8066,,,,,91
1_02_05,3,7934,8124,Down,8116,,,,,50
1_03_05,1,8394,8684,Down,8449,,,,,None
