Score,UpCourt,DownCourt,Start,End,Comment,Player
2_01_00,Wu,Chi,27756,27980,0,1
2_01_01,Wu,Chi,28304,28784,0,1
2_02_01,Wu,Chi,29064,29274,0,2
2_02_02,Wu,Chi,29574,29934,0,1
2_03_02,Wu,Chi,30294,30558,0,2
2_03_03,Wu,Chi,30900,31300,0,1
2_04_03,Wu,Chi,31640,31980,0,2
2_05_03,Wu,Chi,32390,32763,0,1
2_06_03,Wu,Chi,33023,33323,0,1
2_07_03,Wu,Chi,33623,34153,0,1
2_08_03,Wu,Chi,34543,35104,0,1
2_09_03,Wu,Chi,35487,35743,0,1
2_10_03,Wu,Chi,36046,36286,0,1
2_10_04,Wu,Chi,36676,37136,0,1
2_11_04,Wu,Chi,37436,37916,0,2
2_11_05,Wu,Chi,38496,39387,0,1
2_12_05,Wu,Chi,39695,39935,0,2
2_13_05,Wu,Chi,40245,40515,0,1
2_14_05,Wu,Chi,41515,41725,0,2
2_15_05,Wu,Chi,41995,42657,0,1
2_16_05,Wu,Chi,43027,43407,0,1
2_17_05,Wu,Chi,44547,44898,0,1
2_17_06,Wu,Chi,45268,45647,0,1
2_17_07,Wu,Chi,46017,46233,0,2
2_18_07,Wu,Chi,46970,47300,0,1
2_19_07,Wu,Chi,47570,48120,0,1
2_20_07,Wu,Chi,48490,48993,0,1
2_20_08,Wu,Chi,49293,50200,0,1
2_21_08,Wu,Chi,50530,51264,0,2
